Idx,
1835,25.559
1836,25.537
1837,25.129
1838,23.827
1839,22.463
1840,21.853
1841,23.102
1842,25.102
1843,24.66
1844,22.055
1845,20.304
1846,18.318
1847,15.107
1848,10.777
1849,8.078
1850,9.615
1851,6.994
1852,6.158
1853,3.939
1854,2.732
1855,3.369
1856,8.204
1857,10.282
1858,15.747
1859,17.549
1860,13.765
1861,12.291
1862,12.32
1863,18.129
1864,18.509
1865,17.897
1866,20.828
1867,17.203
1868,14.82
1869,13.84
1870,13.255
1871,15.951
1872,16.017
1873,9.886
1874,10.483
1875,10.564
1876,8.488
1877,9.819
1878,9.342
1879,12.411
1880,17.022
1881,19.016
1882,18.213
1883,21.512
1884,20.987
1885,23.169
1886,20.677
1887,18.039
1888,17.523
1889,18.62
1890,18.562
1891,19.131
1892,19.997
1893,22.507
1894,21.567
1895,20.941
1896,18.993
1897,14.923
1898,12.974
1899,12.027
1900,11.778
1901,11.648
1902,11.583
1903,12.409
1904,18.139
1905,21.788
1906,24.059
1907,25.324
1908,23.682
1909,23.208
1910,22.768
1911,19.355
1912,19.836
1913,17.755
1914,20.259
1915,21.887
1916,24.157
1917,24.143
1918,22.881
1919,23.172
1920,21.804
1921,19.21
1922,17.027
1923,15.261
1924,14.638
1925,15.055
1926,14.02
1927,14.804
1928,16.005
1929,19.306
1930,20.526
1931,22.842
1932,22.658
1933,20.387
1934,18.363
1935,16.792
1936,16.45
1937,17.551
1938,18.091
1939,19.287
1940,20.546
1941,19.725
1942,17.419
1943,17.389
1944,18.73
1945,16.712
1946,13.864
1947,13.77
1948,13.517
1949,12.51
1950,11.243
1951,10.214
1952,7.018
1953,9.713
1954,12.341
1955,14.399
1956,14.04
1957,13.758
1958,16.453
1959,11.365
1960,9.185
1961,10.709
1962,12.524
1963,13.38
1964,15.927
1965,16.168
1966,17.395
1967,17.522
1968,17.798
1969,14.35
1970,13.064
1971,12.89
1972,13.144
1973,13.838
1974,13.408
1975,15.726
1976,21.28
1977,23.706
1978,24.473
1979,25.938
1980,26.208
1981,27.331
1982,26.72
1983,24.243
1984,22.347
1985,23.242
1986,26.55
1987,26.978
1988,26.739
1989,26.324
1990,24.836
1991,23.832
1992,21.749
1993,18.063
1994,16.626
1995,17.353
1996,16.964
1997,16.285
1998,15.544
1999,17.903
2000,22.28
2001,25.029
2002,24.956
2003,25.305
2004,25.338
2005,25.175
2006,24.504
2007,22.678
2008,22.745
2009,24.227
2010,24.399
2011,23.482
2012,23.943
2013,22.346
2014,22.88
2015,20.524
2016,19.4
2017,15.052
2018,14.181
2019,14.102
2020,13.817
2021,13.528
2022,14.246
2023,17.681
2024,22.162
2025,25.135
2026,25.335
2027,26.191
2028,25.702
2029,26.15
2030,25.712
2031,25.154
2032,24.711
2033,26.753
2034,28.971
2035,28.415
2036,27.956
2037,27.1
2038,25.63
2039,24.961
2040,22.431
2041,18.828
2042,16.546
2043,15.797
